label,Question 
invalid,Investment Attractiveness of K12 (Kindergarten-Class 12) type school chains in India
valid,Tell me about yourself?
valid,What are the subjects you have command in?
valid,Tell me about your final year project?
valid,Tell me about the industrial training you had?
valid,How does an induction motor works?
invalid,Why motor is rated in KW whereas Transformer and generator in KVA?
invalid,What is the type of motor used in ceiling fans?
valid,Hoe does a thermal power plant works?
valid,Write a program to make a GP
valid,Write a program to print factorial using recursion
valid,Write the logic to reverse a string without using string fnctions
valid,Tell me about yourself?
valid,What are your hobbies?
invalid,Apart from your technical pat and studies what have you done in college?
valid,What do you prefer, ethics or values?
valid,Suppose you are working in office and somebody came and slapped you, what will you do?
valid,Tell me about yourself for 5 minutes
invalid,What are your views about Mr. Narendra Modi as PM of India
invalid,Any extra curricular activities you have participated in school or college
valid,What are your strengths?
valid,What are your weaknesses?
invalid,Being an Electrical engineer why do you want to join an IT company
valid,What do you know about TCS?
valid,Why ITC specifically?
invalid,Why American Express
invalid,Prepare a database of the upcoming bands in the music industry
invalid,A company has been making loss for 2 years. Find a solution based on data given
valid,Estimate the size of tractor market in India
valid,Tell us your story
valid,Substantiate your claim in the resume
valid,Where do you see yourself in 5 years?
valid,Tell us about yourself
valid,Biggest achievement and why?
valid,Do you have any Weaknesses?
valid,Any problems with relocating to Bangalore?
invalid,Solve Monty Hall problem using Bayesian probability
valid,Tell me about
valid,Why GE
valid,What product you like the most made byGE
valid,What would you like to make in GE
valid,Hobby
invalid,Why Dual Degree and Mech
invalid,Subject you love the most and why
valid,Strength Of material:1. Stress and pressure?difference?
invalid,Find the stress and failure condition for a truss system?
valid,Pressure vessel Thick and derivation ?
invalid,Buckling Derivation ?
invalid,Dual Degree Project ?
invalid,Basics in Finance (Accounting mostly)
valid,Given a complex diagram, find out maximum frequency of operation
invalid,Set-up time, old-up time
invalid,Gates,mux encoders
invalid,Questions related to relationship of resistivity and cross-section
valid,Min. size of buffer based on burst rate, input steam rate, output steam rate,latency rate, etc
invalid,If you know the e-mail ID of a person and were asked to hack his account how would you go about it? (Without hacking fundaes)
invalid,How many A4 sheets are sold in India per day?
valid,About Yourself
valid,Resume Summarisation
invalid,Common Puzzeles
invalid,Earthquake effects on structures and its design process. Richter scale and other scales for earthquakes
invalid,A building designed for some place like Delhi, later supposed to shifted to Chennai, then will you do changes in the design? If yes explain. Would you prefer OPC or PPC for Delhi climate?
invalid,Six sigma analysis
invalid,Quality sampling
valid,Introduction
valid,Why ITC ?
valid,Why not startup ?
valid,Tell me about yourself
valid,Why reliance?
invalid,Questions related to project which I did
valid,Anything significant which you did for society
valid,Why do you want to come to Software profile when you studied Chemical Engineering?
valid,Future Plans?
valid,Weaknesses?
valid,Name a situation where you planned something but due to some other problems you have to adjust in the end?
valid,Name a situation where you had to change your behaviour according to situation?
valid,Name a situation where you had to deal with 2-3 different groups?
valid,Name a situation where you were part of group and made difference?
valid,Name a situation where you took an initiative?
valid,Give an experience of working as part of a team?
valid,Name situation where you had to prepare for a speech for a special group of people?
invalid,Focussed more about my 3rd year intern where I developed an application using VBA for STP
invalid,Questions about Android and e-commerce
invalid,Then asked about my football interests(I said to him I am football blogger), so asked me to explain few articles which I wrote
invalid,All about my resume, my BTP
valid,Coding problems
valid,Normally they ask us to introduce your self
valid,Write C code to implement atoi() and itoa()
invalid,Most senior citizens do not know how to use a smartphone. Make design changes to help them. how will you convince your team if it opposes your proposal?
invalid,Estimate the number of Maruti 800s in Kolkata
valid,Why do you want to join the company?
valid,What do you understand about safety?
valid,Tell me about your internship, B.Tech project(BTP), CV
valid,Implement LRU cache.
invalid,what is virtual memory? Will we need virtual memory even if we have infinite amount of RAM?
invalid,Given an array, Find out maximum length of subarray where max of subarray <= 2*min of subarray
invalid,Practical, real life execution question
valid,Strengths and weakness
valid,Why do you want to join Futures First ?
invalid,One good reason to select you ?
valid,Hobbies and interests ?
valid,If not futures first, which company would you like to join and why ?
invalid,If you don't find the work interesting, would you leave the company ?
valid,What makes you think that you are fit for this role ?
invalid,Facts about the company
valid,Rate yourself in mental math, logical reasoning on the scale of ten
valid,Guess Estimate
valid,Three reasons you would not want to join futures first ?
invalid,Why is your CG so low (this will be the same even if your CGPA is 9)
valid,You are not consistent in your academics. We don't think you can survive in our company ?
valid,One achievement in your life you are proud of ?
valid,Project Work?
valid,How could you relate your project work to Tata Steel?
valid,Why Tata Steel?
valid,What is your passion?
invalid,Some applications of resistance welding process and tests on spot weld
invalid,If you have done some modeling work and have knowledgeof Ansys,  solidworks?
valid,Which area would you concentrate on if you were the CEO of the company?
valid,If you were the company how would you feel on hiring yourself?
valid,Project work ?
valid,Why TATA STEEL ?
valid,What is your passion ?
invalid,Some application of resistance welding process and tests on spot welds
invalid,if you have done some modeling work and have knowledge of ansys, solidworks then it will add weight in your selection
valid,How could you relate your project work to Tata Steel ?!
invalid,Questions on coding related experience(interns,academic projects) written in resume
invalid,What is responsive design ? How will you develop responsive websites ?
valid,What are synchronous and asynchronous calls ?
valid,Tell 5 new features of HTML 5
valid,Write a javascript code to compare given two dates
valid,Do you want to anything from our side ?
invalid,About the family background
invalid,About my certification .As i had mentioned a lot of certifications
valid,About the other offers . As i had got an offer from Infosys as well
valid,Why Infogain?
valid,Area of interest.Then why we need data Structures
valid,Out put of a written program .This was related to priority of operators?
valid,A programme to check palindrome?
valid,What is the super class of Exception?
invalid,What is Checked and Unchecked Exception.An Example of each?
invalid,Use of super and this
invalid,Can we use super and this in a single constructor?
valid,Will protected member be inherited in subclasses in hierarchy?
valid,What is deadlock .what are the conditions of deadlock?
valid,Tell us something about yourself?
valid,What values have you got from your father?
valid,What\'s your area of interest in civil engineering?" reply in short and tell what you are good at, not your real area of interest!
invalid,Does the shape and the mass and stiffness distribution in a building effect it's EQ response, explain
invalid,There is a cantilever slab and it is in a very old and dilapidated condition, it's users (having no engineering knowledge) want to prolong it's life, so they prop its hanging end with a bamboo stick, is this the right thing to do or not?
valid,What are your long term goals? Where do you see yourself in next 10 years, what career path do you desire?
valid,Where did you do the internship ?
valid,What did you learn from your mistakes ?
valid,Why should we recruit you ?
invalid,What happens to copper loss in transformer when it is operates at half its rated MVA?
invalid,Induction Motor that gives high starting torque as well as high efficiecy?
valid,Guesstimate: Estimate the number of cycles sold in Chennai in the year 2012
invalid,How should I run a 3 screen multiplex?
invalid,Case study: I have a printing service whose sales are dipping so what should I do?
invalid,A company XYZ has 50 % shares in a mall. Some B company has 30% shares. A foreign company comes and buys company B. Now company XYZ comes to you and asks what should XYZ do? What would you advise?
valid,1.   About yourself and family, best and worst moments in given past, qualities and weaknesses, internship
valid,2. Technical questions on building science, concrete technology, construction management etc
valid,Tell me about yourself
valid,What are your major strengths and weaknesses
invalid,If I ask a friend about you, how do you think he'll describe you?
valid,Give me an instance when your attention to detail mattered
valid,Tell me an instance when things didn't go as planned in a team and how you handled that situation
invalid,Estimate the number of pizzas sold in IIT Roorkee campus in a month
valid,Estimate the number of streetlights in Roorkee
invalid,Your client holds an online website for booking cabs. Due to some reasons, the site is not attracting a lot of customers. Suggest and implement a way so as to increase the no. of customers visiting the website
invalid,Some questions from resume and feasibility of case study
invalid,1. Technical Round
invalid,HR Round
invalid,Asked about GATE rank, UG entrance Exam rank( AIEEE Rank)
valid,Explain pushover analysis
invalid,Draw bending Moment & Shear force of standard portal frame
valid,Draw Influence line diagram
invalid,Test was simple it consisted of 3 parts
invalid,1) English passage reading.:
invalid,2)Next pattern follow in the sequence
invalid,3)Data Interpretation
invalid,How will you light up the Pit?
invalid,Say, 10 years back when there were no airlines in India and a private player wants to set up an airline operation, and you are their consultant, what would you do?
valid,About yourself
valid,Any incident where you need to push yourself out of your comfort zone
valid,Your strengths and weaknesses
invalid,Incident where you have shown the presence of mind
invalid,Any leadership quality responsibilities
valid,Any question you would like to ask us?
invalid,Questions were all resume based. Gave importance to Posiions of responsibilities
valid,Tell us about your project
valid,What was the biggest challenge during your intern
invalid,what is your fav course (questions relating to that field)
invalid,Why sales
invalid,Resume based questions
valid,Why GM, why not other auto companies?
valid,Why do you suit the job?
invalid,Family Background
valid,CV related questions
invalid,Do I read or write stuff apart from my academics? About what?
invalid,Explain Prisoner's Dilemma (in one sentence)
invalid,My planned career trajectory
invalid,Why Sales? (Read the explanation for further elaboration on this)
invalid,Why do you want to join Bankbazaar instead of big companies like Google, Microsoft, IBM etc.?
invalid,What qualities will you bring to Bankbazaar?
invalid,So what qualities does a team leader have? Also give an example where you needed to step up as a leader
valid,What are your weaknesses? Give an example where this weakness cost you something
invalid,How does a mobile work?
valid,Write a program to convert given number to linked list
valid,Write a program to add the numbers given in linked list format
valid,Write a program to find the 2nd maximum of a given binary tree
invalid,Question based on Inorder traversal of binary tree
invalid,Find the median of the given two sorted arrays ( dont sort them -  do in O(log n) time )
invalid,Print the last K lines of a given large file containing millions of lines. ( Hint: have to deal with the Block size and fseek )
valid,Bending moment and shear force diagram at different location of a indeterminate structure
invalid,Tension and compression members in Truss for different support conditions
invalid,Tension and compression  face in frame structure, retaining wall for different loading etc
invalid,Use of position relative,absolute,fixed and static
invalid,AngularJS related questions(basic)
invalid,SASS,Susy,Jade,npm,grunt,gulp,yeoman,LibSASS (just basic knowledge about them)
invalid,Sockets vs Ajax
invalid,Why use node?
invalid,Javascript(Closures,Prototypes,Function/variable hoisting,Function expression vs function declaration,prototypal inheritance,modular pattern,JSONP,this)
invalid,How the server works?
invalid,2 puzzles(josephus and 10 bags with 10 coins each)
invalid,NodeJS
invalid,Which other companies have you appeared for ? What happened there ?
valid,tell us about yourself
invalid,Why not family business ?
invalid,You have an intern and your IDD Dissertation on optimization. Did you have choices in these?
valid,Explain any other project
valid,Tell me about yourself
invalid,Questions on BTP
invalid,How was your experience after coming to IIT what did you achieve
valid,Tell me about your extracurricular activities
invalid,Questions based on your projects
valid,Questions based on your area of interest
invalid,Some basic quiestions
valid,Why you want to join NTPC?
valid,Why not private companies?
invalid,Why not IT sectors?
valid,1)Tell me about yourself
invalid,2) Why Bosch?
valid,3) Why should i hire you?
valid,4) Strengths and Weakness?
invalid,5) What will you do if a member of a group doesn't work?
invalid,6) What if your boss doesn't help u?
valid,Tell me about youself
invalid,Asked a few questions related to my m-tech project and it's application
valid,tell me your favourite subjects
valid,High Strength Concrete with special reference to Fibre Reinforced Concrete- Small Technicalities such as the strength, ductility etc.
invalid,Basic Details and how'd I be an asset to the company
invalid,C++/C/Data Structure/Algorithm Related Questions
invalid,Difference b/w char *str=
invalid,Efficient Algorithm for checking prime number
invalid,Puzzles :http://www.abc.net.au/science/surfingscientist/pdf/conundrum16.pdf
invalid,Questions on Linked List/Stack
valid,Operator Overloading
valid,Object Oriented Programming : Describe everything you know about OOP? (Encapsulation, Polymorphism, Inheritance etc.)
invalid,What do you understand by Software Testing?
invalid,No. of zeros in 100!
invalid,How to swap two numbers without using auxiliary storage? (Explained using XOR logic)
invalid,Given a pen, how would you test it? (Around 20 points were discussed)
invalid,http://www.geeksforgeeks.org/merge-one-array-of-size-n-into-another-one-of-size-mn/
valid,Why do you want to work for Citrix?
invalid,Which other companies did you apply for and which interview did you have today?
valid,Why should we hire you?
invalid,Were you expecting a better JEE rank?
valid,Are you okay with relocating to other cities?
invalid,Are you aware of salaries and other benefits we are offering? Are you okay with it?
valid,Basic HR questions, your understanding of your projects, biggest achievement so far??
valid,why would you like to join our company
invalid,Online versant
invalid,Why you Joined Engg?
valid,What will you choose Honesty or Hard work?
valid,What is your family background?
invalid,The choice of courses and why you chose those courses?
invalid,Questions regarding the internship and the description of various softwares
invalid,Concrete-some basic question based on CE251
invalid,Draw the basic Volume diagram for soil
invalid,What is the plinth level in construction industry?
valid,Given a particular type of building and soil, what type of foundation would you prefer?
invalid,Questions concerning the projects and resume
invalid,What are the general steps to go about in the construction of a building, i.e how will you go about if you are asked to construct a building?
invalid,Units of resistance, in case of concrete?
invalid,Where are the tension members and compression members in case of a building
invalid,Mention three qualities of yours ?
valid,Where do you see yourself in three years\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 time?
valid,What are your future plans for now?
invalid,An example to demonstrate the leadership quality in you?
valid,Some mistakes that you think you committed in your life?
valid,Biggest achievement so far ?
valid,Bending moment diagram of a given framed structure ?
invalid,Bending Moment diagram of an indeterminate beam. And, how to find the moments at the mid span of the beam ?
invalid,Describe the basic moment distribution method to solve indeterminate systems ?
invalid,Basic assumptions in Concrete Limit Design state and the method to design a beam ?
valid,Working Stress Design Method for Steel Structures ?
invalid,How to design a building taking into account the earthquake loads and what are the parameters used during the procedure ?
invalid,Draw a Bending Moment Diagram in a given loading case?
invalid,How will you construct a green building in Rajasthan? Give a basic outline of the steps involved?
invalid,Given a force in the frame structure, find the basic deflection.
invalid,How many beams in the room are there?
invalid,Basic tests in geotechnical engineering e.g. Plate Load Test, DCPT, CPT, SPT and Terzaghi equations.
invalid,Some questions on the intern
invalid,What are your area of interest and asked questions in the same topic?
invalid,What was the thought process during the conduction of Nucleus and the main glitches during the interview? How could you have overcome those?
valid,What are your hobbies?
valid,What was the toughest situation in your life and how did you tackle it?
invalid,If you are asked to construct a dam in Mizoram, what will be the problems you are expected to face and what all logistics will you be looking out for?
valid,In what situations do we prefer the use of steel structures?
invalid,What is a green building?  (90 GB in India)
invalid,Why Chose NTPC?
valid,How would you explain your hogh CPI?
valid,What are your strengths?
valid,What is your biggest acievement till date?
valid,Five years down the line, where do you see yourself?
invalid,Would you be willing to leave the place if some other firm pays you more?
invalid,Give an example of your leadership ?
valid,Where would you see yourself in 5 years and in 10 years from now?
valid,What are your hobbies?
invalid,If your CPI is low, justify it.
invalid,Have you dealt with any similar language problem earlier(since the posting was in chennai)?
invalid,Technical questions on Fluids/ Hydraulics
valid,What have you done in your BTP?
invalid,What use your BTP can be put to? (Application of BTech Project)
valid,Design any component on your own, if given a chance?
invalid,General questions on MoS (Cantilever beam with Moment M, solve it)
valid,Tell me about yourself,
valid,What are your short term goals?
valid,What have you done in your intern? (Explain)
invalid,How important is doing an MBA/ MS/ PHD/ any other higher study to you?   5
invalid,What is EXXON MOBIL doing in India?
valid,What is your achievement at IITK? Explain.
valid,Tell me about yourself?
valid,What are your strength and weaknesses?
invalid,Thesis-based
invalid,Project-based
valid,Tell me about your self
valid,Tell me about your family
invalid,How flexibility can help, what are its advantages and disadvantages
invalid,Why is your english score bad
invalid,Why transmission power is always in multiple of 11 e.g. 11kv?
invalid,How to use capacitor for power factor compensation?
valid,Motor safety measures and safety measures of other machines?
valid,You are given two work profiles \xc3\xa2\xe2\x82\xac\xe2\x80\x9c office work and field work. Which one will you choose?
valid,What are your strengths, weaknesses..?
valid,What irritates you most..?
valid,What do you do in such situations..?
invalid,Are you a leader or a follower...?
invalid,Which one is good
invalid,My interests, apart from acads
valid,Where I see myself in 5 years...?
valid,What kind of job will excite me..?
invalid,If I would like to prefer one city over the other..?
invalid,And a few other questions
invalid,Resume-oriented questions
invalid,Intern-based questions
valid,Questions related to: Leadership/ hobbies/ likes/dislikes/weakness/strengths
valid,Tell me about yourself?
invalid,How was the experience in the field?
valid,Why should we hire you?
invalid,Mtech Thesis-based
invalid,Speech Recognition/ Signal Processing
invalid,Introductory questions
valid,Don\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t you think you should go for MBA than job after your graduation because it increases your salary package by leaps and bounds?
valid,Why would you like to join Visa and why?
valid,Tell me about yourself
invalid,Puzzles based on Rubix cube
invalid,Puzzles based on Sorting algorithm
invalid,Puzzles based on Highest sum in a row algorithm
invalid,Let 1=1   2+2=2*2=2 2   .........................................  X+x+x+x+............=x*x=x2  Differentiate on both sides 1+1+1+1.........=2x x=2x explain where did we go   wrong?
invalid,Algorithm for basic \xc3\xa2\xe2\x82\xac\xc5\x93C\xc3\xa2\xe2\x82\xac\xc2\x9d questions.
invalid,Two puzzles
invalid,Questions based on your resumes
invalid,Basic puzzles
invalid,Guess the number of vehicles on the Chennai roads between 5 to 6
invalid,Basic questions on inventory model
valid,What do you know about Broadcom?
invalid,Why Broadcom?
valid,Skills, strengths, weakness etc
invalid,Plan for higher education?
invalid,1. Things   to be kept   in mind   while   making a   deal with a   book   vendor
invalid,2.   Probability
valid,About the company
invalid,About ASIC design Flow
invalid,7-8
valid,Write a program to find out whether the given string is a palindrome or not
valid,What if your manager is not satisfied with your performance after six months of your work
valid,Why should we recruit you?
valid,Would you like a job in Rand D department?
invalid,Questions on work hardening, corrosion, powder metallurgy- nucleation and growth
valid,What makes stainless steel corrosion-resistant?
invalid,What coatings are made on turbine blades and why?
invalid,What does BHEL manufacture?
invalid,Questions on blast furnace, connecting rods etc.
invalid,Basic Aptitude
invalid,Basic metallurgical questions
valid,Why this job?
invalid,What do you want to do after graduation?
invalid,Project-based
invalid,Internship-based
valid,Would you like to go for higher studies in future?
valid,Where do you see yourself ten years from now?
valid,What do you think about the company?
valid,What is your family background?
valid,Tell us about your ethics and beliefs.
valid,How did you like Bangalore when you were doing your internship over there?
valid,Where would you like to settle after a few years?
invalid,Technical -2
invalid,1) Why Coke?
invalid,2) Short term and Long term career plans
invalid,What do your family members do
valid,Why dont you join family business
valid,You know what are you getting into if we hire you
invalid,What if we fire you
invalid,What is your view about IITK academic system?
valid,Tell me about yourself ?
invalid,What all have you done in your four years here, both academics and other activities?
invalid,If you have a good CPI, why didn\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t you opt for higher studies?
valid,Why this company?
invalid,Summarize what was discussed in GD. Give your opinion on the entire discussion.
invalid,General questions on national and international issues like formation of  Telangana, Obama getting Nobel Prize
invalid,What are the recent developments in the field of metallurgy?
invalid,Resume-based questions
invalid,Internship-based questions
invalid,List all possible ways of strengthening a material.
invalid,What are the different types of dislocations?
invalid,Questions on BTP (Why this topic? Etc.)
invalid,Situation-based questions
valid,Why have you taken MME as your department/ how motivated are you towards your department?
invalid,Which is your Dream Company?
invalid,Why didn\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t you apply for ArcelorMittal and why JSPL?
invalid,What is the Steel turnover of India?
valid,Where do you see yourself in next five years?
invalid,Why not higher studies?
invalid,Current affairs
invalid,Technical-2
valid,Project, internship, BTP-based questions
invalid,Basic coursework - department based
valid,Why you want to join company?
invalid,How you would be helpful?
valid,Tell something creative that you have done,  something which you think that very few people have done
invalid,Why did you choose MME dept. and why did you choose IITK?
valid,Strengths and weaknesses ?
valid,What do you think about our selection procedure?
invalid,Questions about significance of ground effect
invalid,Aerodynamics of race cars v/s normal cars
invalid,Thermodynamics, heat transfer
invalid,Drag coefficient value for cars
invalid,How to reduce pressure in car
invalid,Wind tunnel testing for car model
invalid,Thesis-based questions
invalid,General questions about automobile parts, I.C. engine
invalid,Course-related questions
invalid,Questions about fluid dynamics
invalid,Wind tunnels, materials & their properties
invalid,Solid Mechanics
invalid,Internship-based
invalid,Modes of vibrations of beans
invalid,Friction + Lubrication
invalid,4-R Linkages
invalid,Heat transfer, control systems
invalid,MOS, design of machine elements
invalid,Flight mechanics and structures
invalid,Semiconductors & digital electronics
invalid,Types of counters, to design a divide by 5 counters
invalid,Powerpoint presentation
invalid,Internship-based questions
invalid,Technical Tests
valid,Can you work in a team and how you resolve conflicts with your team mates?
valid,Ready to relocate?
valid,Will you join if offered?
valid,Estimate the sale of Vada Pav in Juhu Beach
invalid,How can we increase the profit for this credit card company? (Relevant graph was provided)
invalid,Increase profit for an e-commerce firm
invalid,Why Cisco?
invalid,NDT
invalid,Microstructure
invalid,Corrosion
invalid,Welding
invalid,Comapany Related
invalid,Steel heat treatment
invalid,Intern Extensive
invalid,General HR questions
valid,What are your achievements?
valid,What would you do if your manager does not agree to you?
valid,What are your hobbies?
invalid,Technical
invalid,Axial compressor functioning of GT engines
valid,Principle stress and strain
valid,Natural frequency of beam problem
valid,Shear centre, finite element methods
invalid,Fracture mechanics
invalid,Composites
valid,Strength of materials
invalid,Predict next few numbers in series
valid,Algorithm to reduce size of stored matrix
invalid,Bending moment and load displacement relation
invalid,Derive expression of lift over air fail
valid,Write algorithm to store given data in different formats
invalid,Basic fluid dynamics questions, turbulence
invalid,Discretization schemes and error analysis on CFD
invalid,What are the major projects you have done?  (On Thesis )
valid,Introduce yourself, tell something other than resume?
valid,Why IITK are you capable of taking pressure in company? Give examples
invalid,Family background
valid,Managerial skills,  weakness
invalid,Why not higher studies
valid,Tell some products in the market you would feel proud you were part of the team?
valid,Why this company?
invalid,Practical design based & Thesis based questions
invalid,Fire design, projects
invalid,Paper published
invalid,Basics of mechanics and Dynamics
invalid,IC engine
invalid,Sonar & Radar
invalid,Law of Thermodynamics
invalid,Questions about Pumps
invalid,1GCC
invalid,Lube Oil
invalid,Heat Exchange
invalid,Thermodynamics
invalid,Energy systems & Turbo machineries
invalid,Questions about pumps
invalid,IC engine
invalid,Internship-based
valid,Protection of synchronous generator
invalid,Drivers
invalid,Question about CFD
invalid,Turbo machinery
invalid,Aerodynamics
invalid,Propulsion
invalid,M. tech thesis
valid,Abacus, coding, previous work experience
invalid,Questions about FEM
valid,Why Ashok Leyland and what will you do in our company
invalid,Basic electric drives like vector control of IM drives and HYBUS of Ashok Leyland
invalid,Thermodynamics
invalid,Fluid mechanics
invalid,Aerodynamics degree of freedom
invalid,Bending, Coupling during flutter
invalid,Engine based questions
invalid,CFD related to SMAC and why we use staggered grid?
invalid,Nusselt number and prandtl number passions
invalid,Being AE why one choose automobile industry?
invalid,Questions related to IC engine
invalid,M. tech project related
invalid,Heat transfer
invalid,Diesel engine
valid,Why Hero Honda company?
