type,text
noreview,URGENT! Your Mobile number has been awarded with a •À_2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only
review,"New product range ,concept selling ."
noreview,GENT! We are trying to contact you. Last weekends draw shows that you won a •À_1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
review,"Nothing much to discuss in cons.. Can skip.There will be some minor aspect, but that's very negligible."
review,Tunnel with Tunnel Boring Machine Underground Metro Project.
review,There is no opposition to me because I like honesty
review,1 Very tiring schedule.2 Less value for money.
review,There were long work hours
review,"Though none , but sometimes market correction is not considered"
noreview,"our mobile number has won •À_5000, to claim calls us back or ring the claims hot line on 09050005321."
noreview,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
review,#NAME?
review,"Always acceptable challenge, assignment of job by project leader is reasonable enough"
review,"If you really want to enter into bpo just go for ""inbound""  and with caution enter into ""outbound""."
review,"nothing as of now, company is good, there should be no politics played.."
noreview,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867
review,"rude partners, working till late nights, working on week ends"
review,"Poor administration, no amenities and timings."
review,"have you seen the lawyers who work in fox south, they are the dejected and desperate types and have you seen their bangalore office in fact all offices it smells and looks like a pig sty"
noreview,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
noreview,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
noreview,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
review,Not so good Management.Very bad sales team which has been ruining fantastic Progress Products.Less pay
review,"PVT LTD company, need better qualified staff"
noreview,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
noreview,88800 and 89034 are premium phone services call 08718711108
review,"no growth for our career, is good only for freshers . no increases in basic salary"
noreview,Its a site to simulate the test. It just gives you very tough questions to test your readiness.
noreview,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
noreview,I fetch yun or u fetch?
review,#NAME?
noreview,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468"
noreview,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just •À_1.50 per wk 2 opt out send STOP 08452810071 16
review,no recognition ! poor appreciation strategies
review,Good environment and good colony
review,Variation in salaries of same post
noreview,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468"
noreview,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just •À_1.50 per wk 2 opt out send STOP 08452810071 16
noreview,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+
noreview,I wanted to ask •À_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
review,Nice to start your career with.
review,None as such. You will get to learn minimum excel and spss.
review,Learning & Development programs needs to be more.
review,No proper processHR ManagementEmployees are region biased
review,Good. Good job. I like entrepreneurs
noreview,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT"
noreview,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
review,"Techno Brain offers a very dynamic environment for growth. It has a genuine and Open Culture where an Individual's aspirations are met. It has a very strong brand value in African marketBeing in Bid Management group I have had chance to work on diverse bids involving multiple stakeholders. In my role across the region, I worked with terrific people who worked extraordinarily hard under what were, at most times, very difficult circumstancesThere is clear focus on quality of deliverables and customer satisfaction"
review,It\'s a very friendly place to work with a 5 day 9 to 5 (on paper) working schedule. Projects are quite interesting since they have lot of travel based research and writing. Staff is friendly and editorial head is approachable and adjusting.
review,"The only good thing about this company USED TO BE its 9-5 working hours. They have a kind and sweet helping staff who make you believe that there can be good souls in this company, too!"
review,"1. Good pay, especially for freshers.2. Three early leaves or late comings are allowed every month.3. Employers are usually quite understanding about personal problems/issues.4. Flexible with long leaves for old employees when needed.5. Training department is good.6. Consistent bonus policy.7. Head is approachable, company follows an open door policy - though issues are not always solved.8. Learning curve is quite high in the beginning - with respect to writing, speed, etc.9. Would recommend to a friend only and only for the decent pay.10. Easy job for the money you get.11. Sometimes, relatively fun tasks are part of daily work.12. Frequent change in projects lend to dynamic work environment."
review,
noreview,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123
noreview,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY •À_10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
review,
noreview,Congratulations ur awarded either •À_500 of CD gift vouchers & Free entry 2 our •À_100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
noreview,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
noreview,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
noreview,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
review,Poor SalariesBad Configuration of computers
review,did not notice tht much
noreview,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
noreview,"Today's Offer! Claim ur •À_150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. •À_3.00 Sub. 16 . Unsub reply X"
noreview,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.
noreview,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.
review,Want to grow more in life and carrier
review,There was nothing bad about this organisation.
noreview,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX
review,No client interactionDoesnt provide work from home flexibility
review,Mysore is one of the best place to buy an apartments with comfortable amenities.
noreview,Your brother is a genius
noreview,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
noreview,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r
noreview,"Shop till u Drop, IS IT YOU, either 10K, 5K, •À_500 Cash or •À_100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
noreview,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. •À_1.50 SP:Tyrone
noreview,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
noreview,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
noreview,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
review,"Sometimes time is the only concern. Depending on the need of the project we had to extend our day, but one of the lady manager even didn't care for it nor appreciated it. But comparing of 5 good Senior vs 1 single bad manager is again a good ratio. Recently came to know she moved on with better opportunity."
noreview,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867
review,"Better place to Learn.Exposure to latest Technologies.More scope to explore new things.Good Ambiance.Good work satisfaction.Better management Team.Highly respectable, professional co workers."
review,No Words to say there is lot of  student life is spoil in this company. No Salary No learning No Guidance No rules = totally fraud.
review,There are no cons with this organization
review,Poor SalariesBad Configuration of computers
noreview,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
noreview,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
noreview,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
noreview,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
noreview,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over •À_1million to give away ! ppt150x3+normal text rate box403 w1t1jy
review,"Better place to Learn.Exposure to latest Technologies. More scope to explore new things.Good Ambiance.Good work satisfaction.Better management Team.Highly respectable, professional co workers."
noreview,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
review,"Very fast paced, expects team members to quickly learn and deliver"
review,Should have better managementMore holidays prrovided
noreview,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
noreview,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
noreview,Jay says that you're a double-faggot
noreview,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04
noreview,What Today-sunday..sunday is holiday..so no work..
noreview,Gudnite....tc...practice going on
review,Imperia structures is a great company to work with. I started working with this company around 3 years back and today I see a better me in terms of skills and efficiency. It is a good place to learn and grow.
review,"Tough and challenging projects may, sometimes, take a toll over one. However, if one can keep up the patience and maintain high spirit, results are quite pleasing."
review,No cons.. Perfect management of resources
review,Management is strict boss gets angry very easily presission is required in all the jod attention to detail is too much
noreview,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same."
noreview,HAPPY NEW YEAR MY NO.1 MAN
noreview,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
review,Friendly Environment with Helpful Mate and Management.
review,"If you\u2019re applying to this place, make sure you have a really good resume. Because if you do, and you work hard, you\u2019ll be given a really attractive salary package. I learnt this fact after I saw a few of my colleagues come in with spell-binding salary."
noreview,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
noreview,"449050000301 You have won a •À_2,000 price! To claim, call 09050000301."
noreview,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16"
noreview,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
noreview,Please CALL 08712402779 immediately as there is an urgent message waiting for you
noreview,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
noreview,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate"
noreview,"URGENT! Your mobile No 07xxxxxxxxx won a •À_2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM"
noreview,"URGENT!! Your 4* Costa Del Sol Holiday or •À_5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost•À_1.50/pm, Max10mins"
noreview,You have WON a guaranteed •À_1000 cash or a •À_2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
noreview,"Thanks for your ringtone order, ref number K718. Your mobile will be charged •À_4.50. Should your tone not arrive please call customer services on 09065069120"
noreview,"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only •À_1.50/wk."
noreview,"URGENT! Your mobile No 077xxx WON a •À_2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm"
noreview,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a •À_500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
noreview,U•À_ve Bin Awarded •À_50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min •À_50-•À_500. OptOut 08718727870
noreview,"You've won tkts to the EURO2004 CUP FINAL or •À_800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
noreview,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
noreview,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
noreview,UR awarded a City Break and could WIN a •À_200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+•À_1.50perWKsub
noreview,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
noreview,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
noreview,"You are a •À_1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE"
noreview,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
noreview,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY •À_10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
noreview,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
noreview,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY •À_10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
noreview,Congratulations YOU'VE Won. You're a Winner in our August •À_1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
noreview,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity
noreview,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
noreview,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp •À_1.50/msg.
noreview,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
noreview,Promotion Number: 8714714 - UR awarded a City Break and could WIN a •À_200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 •À_1.50perWKsub
noreview,Stupid.its not possible
review,"Good place to start your professional career, Have freedom to work, Good IT Infra"
review,"The best place to learn new Skills, business ideas, work on new and interesting projects. Flexible office timing, monthly team outing/lunch, Yearly team outing for 4-5 days. Good yearly appraisal. The working environment is very nice and very friendly, easy to reach and discuss with your manager.  Learned so many new skills and tools."
noreview,"Tough and challenging projects may, sometimes, take a toll over one. However, if one can keep up the patience and maintain high spirit, results are quite pleasing."
review,"Tough and challenging projects may, sometimes, take a toll over one. However, if one can keep up the patience and maintain high spirit, results are quite pleasing."
review,Lot to learn new & innovative things... good place to work... encouraging & supportive management
noreview,"This is my second job in Sales and marketing and seriously never thought Sales/Marketing could be so much fun. The Approachable Management,Freedom to think and implement own ideas,Great Exposure to the market is a few of the many pros I find working here."
noreview,You are a winner you have been specially selected to receive •À_1000 cash or a •À_2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p
noreview,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
